LAW_CAT_CD,PERP_RACE,ARREST_BORO,AGE_GROUP,PERP_SEX,ARREST_DATE,counts
F,BLACK,K,25-44,M,8/31/2018,668
F,BLACK,K,25-44,M,1/31/2019,665
F,BLACK,K,25-44,M,8/31/2019,653
F,BLACK,K,25-44,M,5/31/2019,650
F,BLACK,K,25-44,M,4/30/2018,628
F,BLACK,K,25-44,M,7/31/2018,627
F,BLACK,K,25-44,M,7/31/2019,613
F,BLACK,K,25-44,M,10/31/2019,613
F,BLACK,K,25-44,M,3/31/2018,610
F,BLACK,K,25-44,M,10/31/2017,609
F,BLACK,K,25-44,M,10/31/2018,608
F,BLACK,K,25-44,M,1/31/2021,607
F,BLACK,K,25-44,M,6/30/2017,596
F,BLACK,K,25-44,M,8/31/2017,593
F,BLACK,K,25-44,M,9/30/2018,591
F,BLACK,K,25-44,M,5/31/2020,591
F,BLACK,K,25-44,M,1/31/2018,590
F,BLACK,K,25-44,M,5/31/2017,589
F,BLACK,K,25-44,M,1/31/2020,587
F,BLACK,K,25-44,M,3/31/2019,586
F,BLACK,K,25-44,M,7/31/2017,583
F,BLACK,K,25-44,M,6/30/2018,580
F,BLACK,K,25-44,M,1/31/2017,576
F,BLACK,K,25-44,M,3/31/2017,573
F,BLACK,K,25-44,M,10/31/2020,568
F,BLACK,K,25-44,M,4/30/2019,566
F,BLACK,K,25-44,M,10/31/2021,558
F,BLACK,K,25-44,M,3/31/2021,555
F,BLACK,K,25-44,M,5/31/2018,552
F,BLACK,K,25-44,M,4/30/2017,548
F,BLACK,K,25-44,M,9/30/2017,548
F,BLACK,K,25-44,M,11/30/2017,543
F,BLACK,K,25-44,M,6/30/2019,538
F,BLACK,K,25-44,M,11/30/2020,537
F,BLACK,K,25-44,M,7/31/2021,535
F,BLACK,K,25-44,M,11/30/2018,532
F,BLACK,K,25-44,M,2/28/2019,532
F,BLACK,K,25-44,M,2/28/2017,527
F,BLACK,K,25-44,M,9/30/2020,523
F,BLACK,K,25-44,M,2/28/2018,515
F,BLACK,K,25-44,M,9/30/2019,513
F,BLACK,K,25-44,M,9/30/2021,513
F,BLACK,K,25-44,M,12/31/2018,512
F,BLACK,K,25-44,M,11/30/2019,508
F,BLACK,K,25-44,M,8/31/2021,506
F,BLACK,K,25-44,M,12/31/2020,494
F,BLACK,K,25-44,M,12/31/2021,490
F,BLACK,K,25-44,M,2/29/2020,479
F,BLACK,K,25-44,M,5/31/2021,474
F,BLACK,K,25-44,M,6/30/2021,472
F,BLACK,K,25-44,M,12/31/2017,463
F,BLACK,K,25-44,M,11/30/2021,456
F,BLACK,K,25-44,M,12/31/2019,444
F,BLACK,K,25-44,M,2/28/2021,437
F,BLACK,K,25-44,M,3/31/2020,434
F,BLACK,M,25-44,M,4/30/2019,430
F,BLACK,M,25-44,M,5/31/2018,423
F,BLACK,K,25-44,M,8/31/2020,413
F,BLACK,M,25-44,M,10/31/2020,413
F,BLACK,M,25-44,M,4/30/2018,405
F,BLACK,M,25-44,M,7/31/2019,398
F,BLACK,K,18-24,M,8/31/2017,392
F,BLACK,K,25-44,M,4/30/2021,375
F,BLACK,M,25-44,M,10/31/2021,371
F,BLACK,M,25-44,M,3/31/2021,370
F,BLACK,M,25-44,M,8/31/2018,370
F,BLACK,M,25-44,M,10/31/2018,365
F,BLACK,M,25-44,M,7/31/2017,363
F,BLACK,M,25-44,M,8/31/2017,357
F,BLACK,K,18-24,M,10/31/2017,356
F,BLACK,M,25-44,M,8/31/2021,355
F,BLACK,M,25-44,M,9/30/2021,353
F,BLACK,M,25-44,M,9/30/2018,351
