LAW_CAT_CD,ARREST_BORO,ARREST_DATE,counts
M,M,2017-03-31,4889
M,M,2017-04-30,4816
M,M,2017-05-31,4782
M,M,2017-01-31,4780
M,M,2017-10-31,4766
M,M,2018-01-31,4550
M,M,2017-08-31,4532
M,K,2017-03-31,4484
M,K,2017-01-31,4439
M,M,2017-02-28,4389
M,M,2017-07-31,4317
M,K,2017-04-30,4302
M,M,2017-06-30,4292
M,M,2017-11-30,4278
M,M,2017-09-30,4260
M,B,2017-01-31,4121
M,K,2018-01-31,4109
M,K,2017-05-31,4070
M,K,2017-02-28,4044
M,K,2017-10-31,4036
M,M,2018-03-31,4019
M,K,2017-07-31,3990
M,K,2017-06-30,3975
M,K,2017-11-30,3936
M,M,2017-12-31,3934
M,K,2017-08-31,3924
M,K,2018-03-31,3850
M,B,2017-03-31,3846
M,K,2018-02-28,3836
M,M,2018-02-28,3781
M,B,2017-10-31,3778
M,K,2017-09-30,3753
M,B,2017-04-30,3665
M,B,2018-01-31,3652
M,B,2017-05-31,3625
M,B,2017-08-31,3610
M,B,2017-02-28,3579
M,K,2018-05-31,3546
M,B,2017-11-30,3545
M,B,2017-09-30,3543
M,B,2017-06-30,3528
M,M,2018-04-30,3525
M,K,2018-04-30,3507
M,K,2017-12-31,3495
M,M,2018-05-31,3484
M,B,2017-07-31,3404
M,B,2018-03-31,3399
M,B,2018-08-31,3397
M,B,2018-05-31,3354
M,M,2018-08-31,3338
M,B,2018-02-28,3314
M,B,2018-07-31,3257
M,M,2018-07-31,3257
M,K,2018-07-31,3233
M,Q,2017-04-30,3217
M,K,2018-08-31,3179
M,Q,2017-03-31,3174
M,Q,2017-01-31,3170
M,M,2019-01-31,3168
M,Q,2017-05-31,3164
M,B,2018-04-30,3148
M,M,2019-04-30,3130
M,M,2018-06-30,3107
M,M,2019-05-31,3094
M,B,2019-01-31,3079
M,M,2018-10-31,3078
M,K,2018-06-30,3054
M,K,2019-03-31,3027
M,B,2017-12-31,3011
M,M,2019-03-31,2976
M,Q,2017-07-31,2968
M,B,2018-10-31,2947
M,Q,2017-08-31,2946
M,B,2019-03-31,2943
M,M,2018-11-30,2943
M,K,2019-01-31,2929
M,M,2018-09-30,2922
M,B,2018-09-30,2904
M,B,2018-06-30,2887
M,Q,2017-11-30,2887
M,Q,2017-06-30,2887
M,Q,2017-10-31,2886
M,K,2019-05-31,2876
M,M,2019-07-31,2875
M,K,2018-10-31,2858
M,Q,2018-01-31,2857
M,Q,2018-03-31,2807
M,Q,2017-02-28,2792
M,M,2019-02-28,2782
M,Q,2018-05-31,2764
M,B,2019-02-28,2759
M,M,2018-12-31,2757
M,B,2019-07-31,2743
M,K,2019-07-31,2738
M,B,2019-04-30,2713
M,M,2019-08-31,2711
M,M,2019-10-31,2703
M,B,2019-05-31,2697
M,M,2019-06-30,2696
M,K,2019-04-30,2688
M,B,2018-12-31,2681
M,Q,2018-04-30,2680
M,Q,2018-07-31,2674
M,Q,2017-09-30,2657
M,Q,2018-02-28,2645
M,K,2018-09-30,2640
M,K,2018-11-30,2626
M,B,2018-11-30,2622
M,K,2019-02-28,2620
M,Q,2017-12-31,2592
M,K,2018-12-31,2591
M,M,2019-09-30,2574
F,K,2017-10-31,2565
M,B,2019-08-31,2562
M,K,2019-06-30,2549
M,Q,2019-03-31,2519
F,K,2017-08-31,2515
M,Q,2018-08-31,2511
F,K,2018-08-31,2503
M,K,2019-08-31,2502
M,Q,2019-07-31,2494
M,Q,2019-05-31,2494
M,Q,2019-04-30,2467
M,M,2020-02-29,2465
M,Q,2018-06-30,2461
M,B,2019-06-30,2448
M,Q,2019-01-31,2439
F,K,2017-05-31,2437
F,K,2019-01-31,2426
F,K,2017-01-31,2420
F,K,2017-03-31,2405
M,K,2019-10-31,2395
F,K,2018-01-31,2393
M,Q,2018-10-31,2389
M,B,2019-09-30,2374
M,M,2020-01-31,2370
F,K,2018-10-31,2364
F,K,2019-07-31,2362
F,K,2018-07-31,2355
F,K,2019-05-31,2354
F,K,2017-07-31,2354
M,B,2019-10-31,2339
F,K,2018-04-30,2336
F,K,2019-03-31,2330
M,Q,2018-09-30,2325
F,K,2019-04-30,2320
F,K,2018-05-31,2319
F,K,2017-06-30,2318
M,K,2019-09-30,2309
F,K,2019-08-31,2308
F,K,2018-03-31,2289
M,Q,2019-06-30,2273
M,Q,2018-11-30,2272
M,Q,2019-02-28,2271
M,Q,2018-12-31,2258
M,M,2019-11-30,2256
M,B,2020-01-31,2252
F,K,2017-04-30,2249
F,K,2017-11-30,2242
M,Q,2019-08-31,2238
F,K,2018-06-30,2235
M,M,2021-10-31,2206
F,K,2020-01-31,2205
F,K,2019-10-31,2189
M,B,2019-11-30,2176
M,K,2020-02-29,2176
F,K,2018-02-28,2160
F,K,2017-09-30,2145
M,K,2019-11-30,2129
F,K,2018-09-30,2115
M,M,2019-12-31,2107
F,K,2019-09-30,2095
M,K,2020-01-31,2094
F,K,2018-11-30,2093
M,Q,2019-10-31,2078
F,K,2019-06-30,2071
M,B,2020-02-29,2071
F,K,2017-02-28,2057
F,K,2019-02-28,2044
M,M,2021-09-30,2005
F,K,2020-05-31,2000
M,M,2021-08-31,1991
M,M,2021-03-31,1986
F,K,2021-01-31,1978
F,K,2020-02-29,1970
M,M,2021-11-30,1966
M,Q,2019-11-30,1966
F,K,2018-12-31,1964
F,K,2017-12-31,1946
F,K,2019-11-30,1941
F,K,2021-10-31,1939
F,K,2020-10-31,1922
F,M,2018-05-31,1911
F,K,2021-07-31,1892
M,Q,2019-09-30,1891
M,M,2020-03-31,1886
M,B,2019-12-31,1876
M,Q,2020-01-31,1872
M,M,2021-07-31,1870
M,B,2021-01-31,1860
F,M,2018-02-28,1858
M,M,2021-12-31,1858
M,K,2019-12-31,1858
F,K,2021-03-31,1854
F,M,2017-05-31,1846
M,K,2021-10-31,1841
M,K,2021-03-31,1826
M,B,2020-05-31,1825
M,M,2021-06-30,1818
F,K,2021-08-31,1815
F,M,2018-04-30,1798
F,M,2018-01-31,1798
F,B,2017-10-31,1787
F,K,2020-09-30,1785
M,K,2021-01-31,1782
F,K,2020-12-31,1779
M,K,2020-05-31,1777
F,K,2021-09-30,1769
F,K,2020-11-30,1759
M,Q,2020-02-29,1758
F,M,2017-11-30,1754
F,K,2021-06-30,1749
M,K,2021-08-31,1747
F,M,2019-07-31,1744
F,M,2017-07-31,1743
M,B,2020-03-31,1737
F,M,2017-01-31,1732
F,Q,2017-03-31,1721
F,K,2020-03-31,1721
F,M,2017-09-30,1720
F,B,2017-08-31,1718
M,B,2021-10-31,1717
M,K,2021-06-30,1717
F,M,2018-08-31,1715
M,B,2021-03-31,1712
F,M,2017-08-31,1712
F,B,2019-07-31,1711
F,M,2018-03-31,1704
F,K,2021-11-30,1699
F,M,2017-10-31,1698
M,K,2021-07-31,1697
F,B,2017-01-31,1694
F,M,2018-10-31,1694
F,M,2019-10-31,1694
F,M,2019-04-30,1694
F,M,2021-10-31,1693
F,Q,2018-08-31,1692
M,B,2021-07-31,1690
F,Q,2017-10-31,1687
M,M,2020-05-31,1683
F,M,2019-01-31,1676
F,Q,2018-05-31,1674
M,K,2020-03-31,1673
M,B,2021-09-30,1671
F,K,2019-12-31,1670
M,M,2021-01-31,1669
M,M,2021-05-31,1665
F,B,2017-05-31,1664
M,B,2020-10-31,1664
F,M,2019-08-31,1663
M,Q,2019-12-31,1662
M,K,2021-09-30,1661
F,B,2019-05-31,1661
F,K,2021-05-31,1660
F,M,2018-06-30,1656
F,K,2021-12-31,1655
M,Q,2021-03-31,1654
F,M,2018-07-31,1654
F,M,2017-03-31,1653
F,B,2017-04-30,1649
M,K,2021-12-31,1648
F,M,2017-06-30,1640
F,M,2017-04-30,1639
M,B,2020-12-31,1634
F,M,2019-05-31,1633
M,K,2021-11-30,1632
F,Q,2018-03-31,1628
F,B,2018-08-31,1627
F,Q,2017-01-31,1626
M,K,2020-10-31,1618
M,K,2021-05-31,1616
M,K,2021-02-28,1614
F,Q,2019-05-31,1612
F,B,2017-02-28,1604
F,Q,2019-07-31,1598
F,M,2020-01-31,1597
M,B,2021-11-30,1597
M,B,2020-11-30,1594
F,K,2021-02-28,1592
M,K,2020-12-31,1587
F,B,2017-09-30,1585
F,Q,2019-03-31,1580
F,Q,2018-07-31,1574
F,Q,2018-01-31,1574
M,Q,2021-08-31,1573
F,Q,2018-09-30,1569
F,B,2019-01-31,1567
F,B,2017-03-31,1566
F,Q,2017-04-30,1566
F,B,2017-06-30,1559
M,B,2021-08-31,1556
F,M,2021-08-31,1553
F,M,2019-06-30,1550
M,Q,2021-10-31,1550
F,Q,2017-06-30,1543
F,B,2021-09-30,1541
F,B,2019-08-31,1541
F,Q,2018-04-30,1536
